time,seq_step,cmd_revolute_4_deg,pos_revolute_4_deg,vel_revolute_4_degps,torque_revolute_4_Nm,cmd_revolute_5_deg,pos_revolute_5_deg,vel_revolute_5_degps,torque_revolute_5_Nm,cmd_revolute_3_deg,pos_revolute_3_deg,vel_revolute_3_degps,torque_revolute_3_Nm,cmd_revolute_1_deg,pos_revolute_1_deg,vel_revolute_1_degps,torque_revolute_1_Nm,cmd_revolute_2_deg,pos_revolute_2_deg,vel_revolute_2_degps,torque_revolute_2_Nm,cmd_revolute_6_deg,pos_revolute_6_deg,vel_revolute_6_degps,torque_revolute_6_Nm
0.02,manual,0.0,0.004,0.078,-0.062,0.0,-0.062,-4.028,0.777,0.0,-0.022,-1.62,0.275,0.0,-0.019,-1.585,0.225,0.0,-0.059,-3.675,0.74,0.0,-0.019,-1.54,0.23
0.04,manual,0.0,-0.004,-0.77,0.032,0.0,-0.119,-1.654,1.66,0.0,-0.054,-1.471,0.729,0.0,-0.056,-1.86,0.743,0.0,-0.106,-1.127,1.489,0.0,-0.051,-1.559,0.688
0.06,manual,0.0,-0.025,-1.258,0.324,0.0,-0.127,0.485,1.83,0.0,-0.081,-1.296,1.126,0.0,-0.089,-1.494,1.233,0.0,-0.104,0.95,1.514,0.0,-0.08,-1.373,1.111
0.08,manual,0.0,-0.053,-1.429,0.713,0.0,-0.105,1.47,1.541,0.0,-0.106,-1.175,1.481,0.0,-0.115,-1.131,1.612,0.0,-0.073,1.86,1.102,0.0,-0.106,-1.206,1.482
0.1,manual,0.0,-0.081,-1.375,1.12,0.0,-0.072,1.701,1.077,0.0,-0.128,-1.041,1.801,0.0,-0.135,-0.89,1.902,0.0,-0.033,2.039,0.533,0.0,-0.128,-1.047,1.807
0.12,manual,0.0,-0.106,-1.177,1.49,0.0,-0.039,1.505,0.607,0.0,-0.147,-0.887,2.08,0.0,-0.151,-0.745,2.137,0.0,0.006,1.799,-0.027,0.0,-0.147,-0.888,2.086
0.14,manual,0.0,-0.127,-0.91,1.794,0.0,-0.014,1.08,0.227,0.0,-0.163,-0.729,2.314,0.0,-0.165,-0.659,2.338,0.0,0.037,1.327,-0.486,0.0,-0.163,-0.734,2.321
0.16,manual,0.0,-0.142,-0.635,2.019,0.0,0.002,0.568,-0.017,0.0,-0.176,-0.582,2.503,0.0,-0.177,-0.603,2.519,0.0,0.057,0.768,-0.794,0.0,-0.177,-0.593,2.512
0.18,manual,0.0,-0.152,-0.392,2.168,0.0,0.008,0.082,-0.115,0.0,-0.186,-0.456,2.653,0.0,-0.189,-0.556,2.686,0.0,0.066,0.236,-0.944,0.0,-0.187,-0.469,2.666
0.2,manual,0.0,-0.158,-0.203,2.255,0.0,0.005,-0.307,-0.086,0.0,-0.194,-0.353,2.77,0.0,-0.199,-0.503,2.839,0.0,0.066,-0.191,-0.954,0.0,-0.195,-0.366,2.786
0.22,manual,0.0,-0.16,-0.076,2.295,0.0,-0.004,-0.563,0.039,0.0,-0.2,-0.273,2.86,0.0,-0.209,-0.44,2.975,0.0,0.059,-0.479,-0.858,0.0,-0.202,-0.283,2.88
0.24,manual,0.0,-0.161,-0.003,2.306,0.0,-0.017,-0.686,0.219,0.0,-0.205,-0.215,2.93,0.0,-0.217,-0.368,3.092,0.0,0.048,-0.624,-0.699,0.0,-0.207,-0.22,2.953
0.26,manual,0.0,-0.161,0.027,2.303,0.0,-0.031,-0.694,0.419,0.0,-0.209,-0.174,2.986,0.0,-0.223,-0.293,3.188,0.0,0.035,-0.647,-0.515,0.0,-0.21,-0.174,3.009
0.28,manual,0.0,-0.16,0.027,2.294,0.0,-0.044,-0.619,0.609,0.0,-0.212,-0.145,3.032,0.0,-0.228,-0.221,3.262,0.0,0.022,-0.581,-0.336,0.0,-0.214,-0.141,3.054
0.3,manual,0.0,-0.16,0.012,2.288,0.0,-0.055,-0.494,0.771,0.0,-0.215,-0.126,3.071,0.0,-0.232,-0.159,3.317,0.0,0.012,-0.461,-0.185,0.0,-0.216,-0.118,3.092
0.32,manual,0.0,-0.16,-0.01,2.288,0.0,-0.063,-0.351,0.895,0.0,-0.217,-0.112,3.105,0.0,-0.235,-0.109,3.356,0.0,0.004,-0.321,-0.071,0.0,-0.218,-0.103,3.123
0.34,manual,0.0,-0.16,-0.029,2.293,0.0,-0.069,-0.214,0.977,0.0,-0.219,-0.101,3.136,0.0,-0.236,-0.072,3.382,0.0,-0.001,-0.186,0.003,0.0,-0.22,-0.092,3.151
0.36,manual,0.0,-0.161,-0.042,2.303,0.0,-0.072,-0.099,1.023,0.0,-0.221,-0.09,3.163,0.0,-0.237,-0.049,3.399,0.0,-0.003,-0.073,0.041,0.0,-0.222,-0.083,3.177
0.38,manual,0.0,-0.162,-0.048,2.316,0.0,-0.073,-0.015,1.04,0.0,-0.223,-0.08,3.188,0.0,-0.238,-0.036,3.411,0.0,-0.004,0.009,0.051,0.0,-0.224,-0.076,3.2
0.4,manual,0.0,-0.163,-0.047,2.33,0.0,-0.072,0.038,1.036,0.0,-0.224,-0.07,3.21,0.0,-0.239,-0.03,3.421,0.0,-0.003,0.058,0.042,0.0,-0.225,-0.068,3.22
0.42,manual,0.0,-0.164,-0.042,2.343,0.0,-0.071,0.062,1.022,0.0,-0.226,-0.061,3.229,0.0,-0.239,-0.028,3.429,0.0,-0.001,0.08,0.021,0.0,-0.226,-0.061,3.239
0.44,manual,0.0,-0.164,-0.033,2.354,0.0,-0.07,0.064,1.003,0.0,-0.227,-0.051,3.245,0.0,-0.24,-0.028,3.437,0.0,0.0,0.079,-0.002,0.0,-0.227,-0.053,3.255
0.46,manual,0.0,-0.165,-0.024,2.362,0.0,-0.069,0.052,0.986,0.0,-0.228,-0.042,3.258,0.0,-0.241,-0.028,3.445,0.0,0.002,0.064,-0.023,0.0,-0.228,-0.045,3.269
0.48,manual,0.0,-0.165,-0.015,2.368,0.0,-0.068,0.033,0.974,0.0,-0.228,-0.035,3.269,0.0,-0.241,-0.027,3.453,0.0,0.003,0.042,-0.038,0.0,-0.229,-0.037,3.281
0.5,manual,0.0,-0.166,-0.008,2.371,0.0,-0.067,0.012,0.967,0.0,-0.229,-0.028,3.278,0.0,-0.242,-0.025,3.46,0.0,0.003,0.019,-0.047,0.0,-0.23,-0.03,3.291
0.52,manual,0.0,-0.166,-0.003,2.373,0.0,-0.067,-0.006,0.966,0.0,-0.229,-0.023,3.286,0.0,-0.242,-0.021,3.467,0.0,0.003,-0.001,-0.05,0.0,-0.23,-0.024,3.298
0.54,manual,0.0,-0.166,-0.0,2.374,0.0,-0.068,-0.02,0.969,0.0,-0.23,-0.018,3.291,0.0,-0.242,-0.017,3.473,0.0,0.003,-0.016,-0.048,0.0,-0.231,-0.019,3.305
0.56,manual,0.0,-0.166,0.001,2.374,0.0,-0.068,-0.028,0.976,0.0,-0.23,-0.015,3.296,0.0,-0.243,-0.013,3.477,0.0,0.003,-0.025,-0.042,0.0,-0.231,-0.014,3.309
0.58,manual,0.0,-0.166,0.001,2.373,0.0,-0.069,-0.03,0.985,0.0,-0.23,-0.012,3.3,0.0,-0.243,-0.009,3.48,0.0,0.002,-0.028,-0.034,0.0,-0.231,-0.011,3.313
0.6,manual,0.0,-0.166,0.001,2.373,0.0,-0.069,-0.029,0.993,0.0,-0.231,-0.01,3.303,0.0,-0.243,-0.005,3.482,0.0,0.002,-0.027,-0.026,0.0,-0.232,-0.009,3.316
0.62,manual,0.0,-0.166,0.0,2.373,0.0,-0.07,-0.024,1.001,0.0,-0.231,-0.009,3.306,0.0,-0.243,-0.003,3.483,0.0,0.001,-0.022,-0.019,0.0,-0.232,-0.007,3.318
0.64,manual,0.0,-0.166,-0.0,2.373,0.0,-0.07,-0.018,1.007,0.0,-0.231,-0.008,3.309,0.0,-0.243,-0.001,3.484,0.0,0.001,-0.017,-0.013,0.0,-0.232,-0.006,3.32
0.66,manual,0.0,-0.166,-0.001,2.373,0.0,-0.071,-0.012,1.012,0.0,-0.231,-0.007,3.311,0.0,-0.243,-0.001,3.484,0.0,0.001,-0.011,-0.009,0.0,-0.232,-0.006,3.322
0.68,manual,0.0,-0.166,-0.001,2.373,0.0,-0.071,-0.007,1.014,0.0,-0.231,-0.006,3.312,0.0,-0.243,-0.0,3.484,0.0,0.0,-0.006,-0.007,0.0,-0.232,-0.005,3.324
0.7,manual,0.0,-0.166,-0.001,2.373,0.0,-0.071,-0.003,1.016,0.0,-0.231,-0.005,3.314,0.0,-0.243,-0.0,3.484,0.0,0.0,-0.001,-0.006,0.0,-0.232,-0.005,3.325
0.72,manual,0.0,-0.166,-0.001,2.374,0.0,-0.071,0.0,1.016,0.0,-0.231,-0.004,3.315,0.0,-0.243,-0.001,3.484,0.0,0.0,0.001,-0.006,0.0,-0.232,-0.004,3.326
0.74,manual,0.0,-0.166,-0.001,2.374,0.0,-0.071,0.002,1.016,0.0,-0.232,-0.004,3.317,0.0,-0.243,-0.001,3.485,0.0,0.0,0.003,-0.006,0.0,-0.232,-0.004,3.327
0.76,manual,0.0,-0.166,-0.001,2.374,0.0,-0.071,0.003,1.015,0.0,-0.232,-0.003,3.318,0.0,-0.243,-0.001,3.485,0.0,0.001,0.003,-0.007,0.0,-0.232,-0.003,3.328
0.78,manual,0.0,-0.166,-0.0,2.374,0.0,-0.071,0.002,1.014,0.0,-0.232,-0.003,3.318,0.0,-0.243,-0.001,3.485,0.0,0.001,0.003,-0.008,0.0,-0.232,-0.003,3.329
0.8,manual,0.0,-0.166,-0.0,2.374,0.0,-0.071,0.002,1.014,0.0,-0.232,-0.002,3.319,0.0,-0.243,-0.001,3.486,0.0,0.001,0.002,-0.009,0.0,-0.232,-0.002,3.33
0.82,manual,0.0,-0.166,-0.0,2.374,0.0,-0.071,0.001,1.013,0.0,-0.232,-0.002,3.32,0.0,-0.243,-0.001,3.486,0.0,0.001,0.001,-0.009,0.0,-0.233,-0.002,3.331
0.84,manual,0.0,-0.166,0.0,2.374,0.0,-0.071,0.0,1.013,0.0,-0.232,-0.002,3.32,0.0,-0.243,-0.001,3.486,0.0,0.001,0.0,-0.01,0.0,-0.233,-0.002,3.331
0.86,manual,0.0,-0.166,0.0,2.374,0.0,-0.071,-0.001,1.013,0.0,-0.232,-0.001,3.32,0.0,-0.243,-0.001,3.486,0.0,0.001,-0.0,-0.01,0.0,-0.233,-0.001,3.331
0.88,manual,0.0,-0.166,0.0,2.374,0.0,-0.071,-0.001,1.013,0.0,-0.232,-0.001,3.321,0.0,-0.243,-0.0,3.487,0.0,0.001,-0.001,-0.009,0.0,-0.233,-0.001,3.332
0.9,manual,0.0,-0.166,0.0,2.374,0.0,-0.071,-0.001,1.014,0.0,-0.232,-0.001,3.321,0.0,-0.243,-0.0,3.487,0.0,0.001,-0.001,-0.009,0.0,-0.233,-0.001,3.332
0.92,manual,0.0,-0.166,0.0,2.374,0.0,-0.071,-0.001,1.014,0.0,-0.232,-0.001,3.321,0.0,-0.243,-0.0,3.487,0.0,0.001,-0.001,-0.009,0.0,-0.233,-0.001,3.332
0.94,manual,0.0,-0.166,0.0,2.374,0.0,-0.071,-0.001,1.014,0.0,-0.232,-0.001,3.322,0.0,-0.243,0.0,3.487,0.0,0.001,-0.001,-0.008,0.0,-0.233,-0.001,3.332
0.96,manual,0.0,-0.166,0.0,2.374,0.0,-0.071,-0.001,1.015,0.0,-0.232,-0.001,3.322,0.0,-0.243,0.0,3.487,0.0,0.001,-0.001,-0.008,0.0,-0.233,-0.0,3.333
