time,cmd_revolute_1_deg,pos_revolute_1_deg,vel_revolute_1_degps,torque_revolute_1_Nm,cmd_revolute_2_deg,pos_revolute_2_deg,vel_revolute_2_degps,torque_revolute_2_Nm,cmd_revolute_3_deg,pos_revolute_3_deg,vel_revolute_3_degps,torque_revolute_3_Nm,cmd_revolute_4_deg,pos_revolute_4_deg,vel_revolute_4_degps,torque_revolute_4_Nm,cmd_revolute_5_deg,pos_revolute_5_deg,vel_revolute_5_degps,torque_revolute_5_Nm,cmd_revolute_6_deg,pos_revolute_6_deg,vel_revolute_6_degps,torque_revolute_6_Nm
0.0,0.0,0.0,3.279,0.015,-0.154,-0.154,1.705,-0.018,0.264,0.264,2.387,0.0,-0.022,-0.022,-0.079,0.015,0.022,0.022,0.498,-0.004,0.066,0.066,-1.547,0.018
0.0101,-0.022,-0.022,-1.731,-0.007,-0.132,-0.132,-0.997,-0.011,0.264,0.264,3.777,0.026,-0.022,-0.022,-4.144,0.0,0.022,0.022,0.498,-0.004,0.066,0.066,-1.547,0.018
0.0202,-0.022,-0.022,-2.675,-0.007,-0.132,-0.132,0.603,0.007,0.264,0.264,0.734,-0.007,-0.022,-0.022,-4.144,0.0,0.044,0.044,1.679,-0.022,0.066,0.066,-2.203,-0.051
0.0304,-0.022,-0.022,3.961,-0.011,-0.132,-0.132,0.603,0.007,0.264,0.264,0.734,-0.007,-0.022,-0.022,0.079,-0.037,0.044,0.044,-0.629,0.0,0.066,0.066,-0.131,-0.004
0.0405,-0.022,-0.022,3.961,-0.011,-0.132,-0.132,0.603,0.007,0.264,0.264,0.734,-0.007,-0.022,-0.022,0.079,-0.037,0.044,0.044,-0.629,0.0,0.066,0.066,-0.131,-0.004
0.0506,-0.022,-0.022,3.961,-0.011,-0.154,-0.154,-0.236,0.026,0.264,0.264,0.184,0.007,-0.022,-0.022,0.079,-0.037,0.044,0.044,-0.629,0.0,0.066,0.066,-0.131,-0.004
0.0607,-0.022,-0.022,3.961,-0.011,-0.154,-0.154,-0.236,0.026,0.264,0.264,0.184,0.007,-0.022,-0.022,0.079,-0.037,0.044,0.044,-0.629,0.0,0.066,0.066,-0.131,-0.004
0.0708,-0.022,-0.022,3.961,-0.011,-0.154,-0.154,-0.236,0.026,0.264,0.264,0.184,0.007,-0.022,-0.022,0.839,-0.022,0.022,0.022,-0.341,-0.011,0.066,0.066,-0.131,-0.004
0.081,-0.022,-0.022,3.961,-0.011,-0.154,-0.154,-0.236,0.026,0.264,0.264,0.184,0.007,-0.022,-0.022,0.839,-0.022,0.022,0.022,-0.341,-0.011,0.066,0.066,-0.131,-0.004
0.0911,-0.022,-0.022,-3.174,0.004,-0.154,-0.154,-1.416,-0.029,0.264,0.264,-0.184,-0.033,-0.022,-0.022,2.492,0.018,0.022,0.022,-0.289,0.015,0.066,0.066,-1.495,0.0
0.1012,-0.022,-0.022,-3.174,0.004,-0.154,-0.154,-1.416,-0.029,0.264,0.264,-0.184,-0.033,-0.022,-0.022,2.492,0.018,0.022,0.022,-0.289,0.015,0.066,0.066,0.997,-0.011
0.1113,-0.022,-0.022,-3.174,0.004,-0.154,-0.154,-1.416,-0.029,0.264,0.264,-0.184,-0.033,-0.022,-0.022,2.492,0.018,0.022,0.022,-0.289,0.015,0.066,0.066,0.997,-0.011
0.1214,-0.022,-0.022,-3.174,0.004,-0.154,-0.154,-1.416,-0.029,0.264,0.264,-0.184,-0.033,-0.022,-0.022,2.492,0.018,0.022,0.022,-0.289,0.015,0.066,0.066,0.997,-0.011
0.1315,-0.022,-0.022,2.282,0.0,-0.132,-0.132,1.443,-0.011,0.264,0.264,0.079,0.015,-0.022,-0.022,0.708,0.004,0.022,0.022,-0.813,0.029,0.088,0.088,5.377,0.022
0.1417,-0.022,-0.022,1.652,0.037,-0.132,-0.132,1.443,-0.011,0.264,0.264,0.079,0.015,-0.022,-0.022,0.708,0.004,0.022,0.022,-0.813,0.029,0.066,0.066,-2.833,-0.011
0.1518,-0.022,-0.022,1.652,0.037,-0.132,-0.132,3.777,-0.015,0.264,0.264,0.079,0.015,-0.022,-0.022,0.708,0.004,0.022,0.022,-0.813,0.029,0.066,0.066,-2.833,-0.011
0.1619,-0.022,-0.022,1.652,0.037,-0.132,-0.132,3.777,-0.015,0.264,0.264,0.079,0.015,-0.022,-0.022,0.708,0.004,0.022,0.022,-0.813,0.029,0.066,0.066,-2.833,-0.011
0.172,-0.022,-0.022,1.652,0.037,-0.132,-0.132,3.777,-0.015,0.264,0.264,3.226,0.004,-0.022,-0.022,4.433,-0.04,0.022,0.022,-0.813,0.029,0.066,0.066,-2.833,-0.011
0.1821,-0.022,-0.022,1.652,0.037,-0.132,-0.132,3.777,-0.015,0.264,0.264,3.226,0.004,-0.022,-0.022,4.433,-0.04,0.022,0.022,-0.813,0.029,0.066,0.066,-2.833,-0.011
0.1923,-0.022,-0.022,0.341,0.004,-0.132,-0.132,-0.42,0.037,0.264,0.264,3.226,0.004,-0.022,-0.022,4.433,-0.04,0.022,0.022,-0.629,0.018,0.066,0.066,0.131,0.081
0.2024,-0.022,-0.022,0.341,0.004,-0.132,-0.132,-0.42,0.037,0.264,0.264,-1.233,-0.018,-0.022,-0.022,4.433,-0.04,0.022,0.022,-0.629,0.018,0.066,0.066,0.131,0.081
0.2125,-0.022,-0.022,0.341,0.004,-0.132,-0.132,-0.42,0.037,0.264,0.264,-1.233,-0.018,-0.022,-0.022,4.433,-0.04,0.022,0.022,-0.629,0.018,0.066,0.066,0.131,0.081
0.2225,-0.022,-0.022,0.341,0.004,-0.132,-0.132,-0.42,0.037,0.264,0.264,-1.233,-0.018,-0.022,-0.022,4.433,-0.04,0.022,0.022,-0.629,0.018,0.066,0.066,0.131,0.081
0.2327,-0.022,-0.022,0.341,0.004,-0.132,-0.132,-0.42,0.037,0.264,0.264,-1.233,-0.018,0.0,0.0,0.603,0.011,0.022,0.022,-1.888,0.026,0.066,0.066,0.131,0.081
0.2428,-0.022,-0.022,-2.046,-0.011,-0.132,-0.132,1.574,0.033,0.264,0.264,-3.095,-0.007,-0.022,-0.022,1.18,0.015,0.022,0.022,2.57,-0.004,0.066,0.066,-1.993,-0.048
0.2529,-0.022,-0.022,-2.046,-0.011,-0.132,-0.132,1.574,0.033,0.264,0.264,-3.095,-0.007,-0.022,-0.022,1.18,0.015,0.022,0.022,-2.256,-0.007,0.066,0.066,-1.993,-0.048
0.263,-0.022,-0.022,-3.515,-0.022,-0.154,-0.154,-4.223,-0.029,0.264,0.264,-2.02,0.007,-0.022,-0.022,1.18,0.015,0.022,0.022,-2.256,-0.007,0.066,0.066,-1.259,0.015
0.2731,-0.022,-0.022,-3.515,-0.022,-0.154,-0.154,-4.223,-0.029,0.264,0.264,-2.02,0.007,-0.022,-0.022,1.18,0.015,0.022,0.022,-2.256,-0.007,0.066,0.066,-1.259,0.015
0.2833,-0.022,-0.022,-3.515,-0.022,-0.154,-0.154,-4.223,-0.029,0.264,0.264,-2.02,0.007,-0.022,-0.022,1.18,0.015,0.022,0.022,-2.256,-0.007,0.066,0.066,-1.259,0.015
0.2962,-0.022,-0.022,-3.515,-0.022,-0.154,-0.154,-4.223,-0.029,0.264,0.264,-2.02,0.007,-0.022,-0.022,-1.049,0.044,0.022,0.022,-0.787,0.007,0.066,0.066,1.416,0.015
0.3164,-0.022,-0.022,-0.866,-0.015,-0.154,-0.154,-2.833,0.018,0.264,0.264,-2.02,0.007,-0.022,-0.022,-1.049,0.044,0.022,0.022,-0.787,0.007,0.066,0.066,1.416,0.015
0.3265,-0.022,-0.022,-0.866,-0.015,-0.154,-0.154,-2.833,0.018,0.264,0.264,-2.02,0.007,-0.022,-0.022,-1.049,0.044,0.022,0.022,-0.787,0.007,0.066,0.066,1.416,0.015
0.3367,-0.022,-0.022,-0.866,-0.015,-0.154,-0.154,-2.833,0.018,0.264,0.264,3.305,-0.055,-0.022,-0.022,0.262,0.029,0.022,0.022,1.102,0.004,0.066,0.066,1.6,-0.004
0.3468,-0.022,-0.022,-0.236,-0.015,-0.154,-0.154,-2.833,0.018,0.264,0.264,3.305,-0.055,-0.022,-0.022,0.262,0.029,0.022,0.022,1.102,0.004,0.066,0.066,1.6,-0.004
0.357,-0.022,-0.022,1.469,0.026,-0.154,-0.154,0.026,-0.007,0.264,0.264,0.393,0.0,-0.022,-0.022,-0.603,0.055,0.022,0.022,1.154,-0.033,0.066,0.066,-4.511,0.015
